"periodo_mens","expo_valor","media_movil","registros"
"2012-01-01",11955397,11955397.000000000000,1
"2012-02-01",66070151,39012774.000000000000,2
"2012-03-01",75202987,51076178.333333333333,3
"2012-04-01",51044535,51068267.500000000000,4
"2012-05-01",45958129,50046239.800000000000,5
"2012-06-01",27139196,46228399.166666666667,6
"2012-07-01",20182511,42507558.000000000000,7
"2012-08-01",13458617,38876440.375000000000,8
"2012-09-01",16524465,36392887.555555555556,9
"2012-10-01",17382706,34491869.400000000000,10
"2012-11-01",11955772,32443133.272727272727,11
"2012-12-01",7361954,30353035.000000000000,12
"2013-01-01",10992093,30272759.666666666667,12
"2013-02-01",80552389,31479612.833333333333,12
"2013-03-01",102631552,33765326.583333333333,12
"2013-04-01",68772762,35242678.833333333333,12
"2013-05-01",52028282,35748524.916666666667,12
"2013-06-01",31140872,36081997.916666666667,12
"2013-07-01",20667044,36122375.666666666667,12
"2013-08-01",12977060,36082245.916666666667,12
"2013-09-01",13678240,35845060.500000000000,12
"2013-10-01",10061426,35234953.833333333333,12
"2013-11-01",10635107,35124898.416666666667,12
"2013-12-01",7928468,35172107.916666666667,12
"2014-01-01",12520837,35299503.250000000000,12
"2014-02-01",66639609,34140104.916666666667,12
"2014-03-01",89265512,33026268.250000000000,12
"2014-04-01",61021755,32380351.000000000000,12
"2014-05-01",47847579,32031959.083333333333,12
"2014-06-01",22738884,31331793.416666666667,12
"2014-07-01",17746187,31088388.666666666667,12
"2014-08-01",18928936,31584378.333333333333,12
"2014-09-01",13496710,31569250.833333333333,12
"2014-10-01",11436864,31683870.666666666667,12
"2014-11-01",10440225,31667630.500000000000,12
"2014-12-01",7218746,31608487.000000000000,12
"2015-01-01",7607831,31199069.833333333333,12
"2015-02-01",54024919,30147845.666666666667,12
"2015-03-01",63272787,27981785.250000000000,12
"2015-04-01",50791482,27129262.500000000000,12
"2015-05-01",27131050,25402885.083333333333,12
"2015-06-01",18947951,25086974.000000000000,12
"2015-07-01",16745247,25003562.333333333333,12
"2015-08-01",12115236,24435754.000000000000,12
"2015-09-01",10930417,24221896.250000000000,12
"2015-10-01",8192887,23951564.833333333333,12
"2015-11-01",7292754,23689275.583333333333,12
"2015-12-01",6073297,23593821.500000000000,12
"2016-01-01",6142898,23471743.750000000000,12
"2016-02-01",43554007,22599167.750000000000,12
"2016-03-01",68811287,23060709.416666666667,12
"2016-04-01",47579604,22793052.916666666667,12
"2016-05-01",31127581,23126097.166666666667,12
"2016-06-01",15578632,22845320.583333333333,12
"2016-07-01",14243227,22636818.916666666667,12
