"periodo_mens","expo_valor"
"2012-01-01",11955397
"2012-02-01",66070151
"2012-03-01",75202987
"2012-04-01",51044535
"2012-05-01",45958129
"2012-06-01",27139196
"2012-07-01",20182511
"2012-08-01",13458617
"2012-09-01",16524465
"2012-10-01",17382706
"2012-11-01",11955772
"2012-12-01",7361954
"2013-01-01",10992093
"2013-02-01",80552389
"2013-03-01",102631552
"2013-04-01",68772762
"2013-05-01",52028282
"2013-06-01",31140872
"2013-07-01",20667044
"2013-08-01",12977060
"2013-09-01",13678240
"2013-10-01",10061426
"2013-11-01",10635107
"2013-12-01",7928468
"2014-01-01",12520837
"2014-02-01",66639609
"2014-03-01",89265512
"2014-04-01",61021755
"2014-05-01",47847579
"2014-06-01",22738884
"2014-07-01",17746187
"2014-08-01",18928936
"2014-09-01",13496710
"2014-10-01",11436864
"2014-11-01",10440225
"2014-12-01",7218746
"2015-01-01",7607831
"2015-02-01",54024919
"2015-03-01",63272787
"2015-04-01",50791482
"2015-05-01",27131050
"2015-06-01",18947951
"2015-07-01",16745247
"2015-08-01",12115236
"2015-09-01",10930417
"2015-10-01",8192887
"2015-11-01",7292754
"2015-12-01",6073297
"2016-01-01",6142898
"2016-02-01",43554007
"2016-03-01",68811287
"2016-04-01",47579604
"2016-05-01",31127581
"2016-06-01",15578632
"2016-07-01",14243227
"2016-08-01",11034443
"2016-09-01",7867529
"2016-10-01",8909991
"2016-11-01",9087664
"2016-12-01",6166673
"2017-01-01",9325663
"2017-02-01",59068327
"2017-03-01",52602024
"2017-04-01",41762799
"2017-05-01",26286156
"2017-06-01",17795342
"2017-07-01",14145095
"2017-08-01",9634515
"2017-09-01",7058344
"2017-10-01",6615031
"2017-11-01",7818643
"2017-12-01",4859695
"2018-01-01",9831440
"2018-02-01",61492424
"2018-03-01",75425820
"2018-04-01",40104019
"2018-05-01",29167454
"2018-06-01",15995478
"2018-07-01",12432013
"2018-08-01",10905089
"2018-09-01",8570684
"2018-10-01",9578285
"2018-11-01",6497834
"2018-12-01",6336271
"2019-01-01",5975679
"2019-02-01",46924180
"2019-03-01",46371675
"2019-04-01",34279734
"2019-05-01",25990253
"2019-06-01",15870487
"2019-07-01",14284439
"2019-08-01",12133249
"2019-09-01",8936759
"2019-10-01",7380787
"2019-11-01",8769610
"2019-12-01",4963142
"2020-01-01",7423954
"2020-02-01",50093236
"2020-03-01",56800537
"2020-04-01",30957215
"2020-05-01",23433215
"2020-06-01",17324149
"2020-07-01",13020305
"2020-08-01",12169969
"2020-09-01",10275069
"2020-10-01",10891290
"2020-11-01",8235320
"2020-12-01",4432237
"2021-01-01",10314000
"2021-02-01",40160000
"2021-03-01",42638000
"2021-04-01",31647000
"2021-05-01",28642000
"2021-06-01",16377000
"2021-07-01",11344000
"2021-08-01",9582000
"2021-09-01",7786000
"2021-10-01",7043000
"2021-11-01",5745000
"2021-12-01",4879000
"2022-01-01",7132000
"2022-02-01",44235000
